"parameter","lower","upper"
"Tfc",336.738735218617,355.682789195272
"Pa_des",145017.986315869,299907.620940347
"Pc_des",126277.425442872,261771.985554867
"Sa",1.3,1.3
"Sc",1.10086170791432,2.90673730658925
"Phi_a_des",0.5,0.5
"Phi_c_des",0.201915861525896,0.659343018284962
"epsilon_gdl",0.609166536600889,0.765592186830917
"tau",1.00543727232003,1.16724962201111
"epsilon_mc",0.185531911207625,0.39935455207529
"epsilon_c",0.201672564623319,0.29835971906738
"e",3,5
"Re",5.10615668296814e-07,4.81197069892437e-06
"i0_c_ref",0.108212253376668,68.1669744096471
"kappa_co",17.3905693989994,33.0412606730048
"kappa_c",0.0248001057022181,2.21984528255235
"a_slim",0.0124695406270143,0.998285247291816
"b_slim",0.00381932749546234,0.989451019489198
"a_switch",0.0996827570407937,0.860910488802855
